circuitid,name,city,country,latitude,longitude,description
1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.849700,144.968000,
2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.760830,101.738000,
3,Bahrain International Circuit,Sakhir,Bahrain,26.032500,50.510600,
4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.570000,2.261110,
5,Istanbul Park,Istanbul,Turkey,40.951700,29.405000,
6,Circuit de Monaco,Monte-Carlo,Monaco,43.734700,7.420560,
7,Circuit Gilles Villeneuve,Montreal,Canada,45.500000,-73.522800,
8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.864200,3.163610,
9,Silverstone Circuit,Silverstone,UK,52.078600,-1.016940,
10,Hockenheimring,Hockenheim,Germany,49.327800,8.565830,
11,Hungaroring,Budapest,Hungary,47.578900,19.248600,
12,Valencia Street Circuit,Valencia,Spain,39.458900,-0.331667,
13,Circuit de Spa-Francorchamps,Spa,Belgium,50.437200,5.971390,
14,Autodromo Nazionale di Monza,Monza,Italy,45.615600,9.281110,
15,Marina Bay Street Circuit,Marina Bay,Singapore,1.291400,103.864000,
16,Fuji Speedway,Oyama,Japan,35.371700,138.927000,
17,Shanghai International Circuit,Shanghai,China,31.338900,121.220000,
18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.703600,-46.699700,
19,Indianapolis Motor Speedway,Indianapolis,USA,39.795000,-86.234700,
20,Nürburgring,Nürburg,Germany,50.335600,6.947500,
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.343900,11.716700,
22,Suzuka Circuit,Suzuka,Japan,34.843100,136.541000,
80,Las Vegas Strip Street Circuit,Las Vegas,United States,36.114700,-115.173000,
24,Yas Marina Circuit,Abu Dhabi,UAE,24.467200,54.603100,
25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.694300,-58.459300,
26,Circuito de Jerez,Jerez de la Frontera,Spain,36.708300,-6.034170,
27,Autódromo do Estoril,Estoril,Portugal,38.750600,-9.394170,
28,Okayama International Circuit,Okayama,Japan,34.915000,134.221000,
29,Adelaide Street Circuit,Adelaide,Australia,-34.927200,138.617000,
30,Kyalami,Midrand,South Africa,-25.989400,28.076700,
31,Donington Park,Castle Donington,UK,52.830600,-1.375280,
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.404200,-99.090700,
33,Phoenix street circuit,Phoenix,USA,33.447900,-112.075000,
34,Circuit Paul Ricard,Le Castellet,France,43.250600,5.791670,
35,Korean International Circuit,Yeongam County,Korea,34.733300,126.417000,
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.975600,-43.395000,
37,Detroit Street Circuit,Detroit,USA,42.329800,-83.040100,
38,Brands Hatch,Kent,UK,51.356900,0.263056,
39,Circuit Park Zandvoort,Zandvoort,Netherlands,52.388800,4.540920,
40,Zolder,Heusden-Zolder,Belgium,50.989400,5.256940,
41,Dijon-Prenois,Dijon,France,47.362500,4.899130,
42,Fair Park,Dallas,USA,32.777400,-96.758700,
43,Long Beach,California,USA,33.765100,-118.189000,
44,Las Vegas Street Circuit,Nevada,USA,36.116200,-115.174000,
45,Jarama,Madrid,Spain,40.617100,-3.585580,
46,Watkins Glen,New York State,USA,42.336900,-76.927200,
47,Scandinavian Raceway,Anderstorp,Sweden,57.265300,13.604200,
48,Mosport International Raceway,Ontario,Canada,44.048100,-78.675600,
49,Montjuïc,Barcelona,Spain,41.366400,2.151670,
50,Nivelles-Baulers,Brussels,Belgium,50.621100,4.326940,
51,Charade Circuit,Clermont-Ferrand,France,45.747200,3.038890,
52,Circuit Mont-Tremblant,Quebec,Canada,46.187700,-74.609900,
53,Rouen-Les-Essarts,Rouen,France,49.330600,1.004580,
54,Le Mans,Le Mans,France,47.950000,0.224231,
55,Reims-Gueux,Reims,France,49.254200,3.930830,
56,Prince George Circuit,Eastern Cape Province,South Africa,-33.048600,27.873600,
57,Zeltweg,Styria,Austria,47.203900,14.747800,
58,Aintree,Liverpool,UK,53.476900,-2.940560,
59,Circuito da Boavista,Oporto,Portugal,41.170500,-8.673250,
60,Riverside International Raceway,California,USA,33.937000,-117.273000,
61,AVUS,Berlin,Germany,52.480600,13.251400,
62,Monsanto Park Circuit,Lisbon,Portugal,38.719700,-9.203060,
63,Sebring International Raceway,Florida,USA,27.454700,-81.348300,
64,Ain Diab,Casablanca,Morocco,33.578600,-7.687500,
65,Pescara Circuit,Pescara,Italy,42.475000,14.150800,
66,Circuit Bremgarten,Bern,Switzerland,46.958900,7.401940,
67,Circuit de Pedralbes,Barcelona,Spain,41.390300,2.116670,
68,Buddh International Circuit,Uttar Pradesh,India,28.348700,77.533100,
69,Circuit of the Americas,Austin,USA,30.132800,-97.641100,
70,Red Bull Ring,Spielberg,Austria,47.219700,14.764700,
71,Sochi Autodrom,Sochi,Russia,43.405700,39.957800,
73,Baku City Circuit,Baku,Azerbaijan,40.372500,49.853300,
75,Autódromo Internacional do Algarve,Portimão,Portugal,37.227000,-8.626700,
76,Autodromo Internazionale del Mugello,Mugello,Italy,43.997500,11.371900,
77,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.631900,39.104400,
78,Losail International Circuit,Al Daayen,Qatar,25.490000,51.454200,
79,Miami International Autodrome,Miami,USA,25.958100,-80.238900,
